issue_id,district,sector,cell,leaders,date_reported,date_resolved,assigned_department,assigned_level,Description,status,escalated,is_overdue,feedback_rating,feedback_comment,,,,latitude,longitude,priority
ISS-1117,Kicukiro,Kigarama,Kigarama II,Mugisha Patrick,09/08/2025,31/08/2025,Education,Cell,Illegal dumping of waste in the residential area for several weeks.,Resolved,No,No,4,Good communication throughout.,,,,-1.9875,30.0646,Low
ISS-1118,Kicukiro,Kigarama,Kigarama II,Mugisha Patrick,01/02/2025,23/02/2025,Water & sanitation,District,Unsafe pedestrian crossing without signs near the market for 1 week.,Resolved,No,No,3,Good communication throughout.,,,,-1.9875,30.0646,High
ISS-1119,Kicukiro,Gikondo,Kanserege,Uwase Cyuzuzo,08/06/2025,26/06/2025,public Safety,Cell,Unsafe pedestrian crossing without signs next to the bus stop since last week.,Resolved,No,No,3,Good communication throughout.,,,,-1.9732,30.081,Medium
ISS-1120,Gasabo,Remera,Rukiri II,Shema Emmy,15/04/2025,,Water & sanitation,District,Open sewage causing bad smell near the health post for 3 days.,Open,No,No,,,,,,-1.9527,30.116,High
ISS-1121,Gasabo,Kimironko,Nyagatovu,Ishimwe Grace,18/05/2025,,Health and Services ,Cell,Unfinished construction causing hazards in the residential area for 3 days.,In Progress,No,No,,,,,,-1.93429,30.1179,High
ISS-1122,Kicukiro,Gikondo,Gikondo,Kwizera Olivier,26/01/2025,15/02/2025,public Safety,District,Unfinished construction causing hazards behind the local office for almost a year.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.969161,30.080966,Low
ISS-1123,Gasabo,Kimironko,Bibare,Muhire Umutoni,07/08/2025,29/08/2025,public Safety,Cell,Public transport shortage during rush hours in the residential area since yesterday.,Resolved,No,No,3,Good communication throughout.,,,,-1.93429,30.1179,Low
ISS-1124,Nyarugenge,Kigali,Kiyovu,Iradukunda David,01/02/2025,28/02/2025,Water & sanitation,Cell,Illegal dumping of waste near the health post since the rainy season began.,Resolved,No,No,4,Service was quick and effective.,,,,-1.967222,30.055556,Low
ISS-1125,Nyarugenge,Nyamirambo,Rwezamenyo II,Nshimiyimana David,21/07/2025,26/07/2025,Health and Services ,Cell,Poor internet connectivity in public offices by the primary school for 1 week.,Resolved,No,No,4,Service was quick and effective.,,,,-1.993611,30.044167,Low
ISS-1126,Nyarugenge,Nyamirambo,Rwezamenyo II,Nshimiyimana David,18/07/2025,,Education,Sector,Electricity blackout in the neighborhood near the market since the rainy season began.,Escalated,Yes,Yes,,,,,,-1.993611,30.044167,High
ISS-1127,Gasabo,Kimironko,Bibare,Muhire Umutoni,24/07/2025,,Social services,Sector,Flooding in homes after rain near the market since this morning.,Escalated,Yes,Yes,,,,,,-1.93429,30.1179,High
ISS-1128,Gasabo,Remera,Nyabisindu,Patrick Manzi,24/03/2025,,Education,District,Unfinished construction causing hazards behind the local office since the rainy season began.,In Progress,No,No,,,,,,-1.9527,30.116,Low
ISS-1129,Gasabo,Remera,Rukiri II,Shema Emmy,10/07/2025,,Social services,Cell,Flooding in homes after rain in the residential area for 2 months now.,In Progress,No,No,,,,,,-1.9527,30.116,Medium
ISS-1130,Kicukiro,Kigarama,Kigarama II,Mugisha Patrick,12/01/2025,11/02/2025,Education,District,Blocked drainage causing floods next to the bus stop since last week.,Resolved,No,No,3,The issue is still not fully fixed.,,,,-1.9875,30.0646,Low
ISS-1131,Nyarugenge,Nyamirambo,Mumena,Habimana Baptiste,25/06/2025,,public Safety,Sector,Unsafe pedestrian crossing without signs behind the local office since yesterday.,Escalated,Yes,No,,,,,,-1.993611,30.044167,Low
ISS-1132,Kicukiro,Kigarama,Kigarama I,Mugisha Emmanuel,17/01/2025,,Social services,Cell,Public transport shortage during rush hours in the residential area for 1 week.,Escalated,Yes,No,,,,,,-1.9875,30.0646,Low
ISS-1133,Nyarugenge,Kigali,Nyarugenge,Habimana Grace,27/04/2025,11/05/2025,Social services,Sector,Electricity blackout in the neighborhood next to the bus stop since yesterday.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.967222,30.055556,Low
ISS-1134,Gasabo,Remera,Rukiri I,Iradukunda Eric,28/03/2025,10/04/2025,Education,Sector,Poor internet connectivity in public offices at the main road for over a month.,Resolved,No,No,4,"Poor handling, not happy.",,,,-1.9527,30.116,Urgent
ISS-1135,Gasabo,Kimironko,Nyagatovu,Ishimwe Grace,09/02/2025,25/02/2025,Water & sanitation,Sector,Broken streetlight by the primary school for 2 months now.,Resolved,No,No,1,Service was quick and effective.,,,,-1.93429,30.1179,Low
ISS-1136,Gasabo,Remera,Rukiri I,Iradukunda Eric,23/05/2025,,Water & sanitation,Cell,Damaged bridge making crossing difficult near the river for 3 days.,Escalated,Yes,No,,,,,,-1.9527,30.116,Medium
ISS-1137,Nyarugenge,Kigali,Muhima,Rukundo Innocent,20/06/2025,04/07/2025,public Safety,Sector,Illegal dumping of waste in the residential area since yesterday.,Resolved,No,No,5,Service was quick and effective.,,,,-1.9359,30.0534,Medium
ISS-1138,Kicukiro,Gikondo,Rwimbogo,Nshimiyimana Eric,24/02/2025,,Social services,District,Flooding in homes after rain in the village center for 1 week.,In Progress,No,No,,,,,,-1.969161,30.080966,Low
ISS-1139,Gasabo,Remera,Rukiri I,Iradukunda Eric,15/07/2025,23/07/2025,Water & sanitation,Cell,Poor internet connectivity in public offices at the main road for over a month.,Resolved,No,No,4,Good communication throughout.,,,,-1.9527,30.116,Urgent
ISS-1140,Nyarugenge,Nyamirambo,Rwezamenyo II,Nshimiyimana David,11/03/2025,21/03/2025,Health and Services ,Cell,Unfinished construction causing hazards at the football field for 3 days.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.993611,30.044167,Urgent
ISS-1141,Gasabo,Remera,Nyabisindu,Patrick Manzi,06/02/2025,07/02/2025,public Safety,Cell,Flooding in homes after rain at the main road for several weeks.,Resolved,No,No,4,"Poor handling, not happy.",,,,-1.9527,30.116,Low
ISS-1142,Nyarugenge,Nyamirambo,Rwezamenyo I,Rukundo Manzi,10/02/2025,06/03/2025,public Safety,Sector,Noise pollution from nearby bars next to the bus stop for several weeks.,Resolved,No,No,3,Good communication throughout.,,,,-1.993611,30.044167,Medium
ISS-1143,Nyarugenge,Nyamirambo,Mumena,Habimana Baptiste,13/01/2025,22/01/2025,Education,District,Flooding in homes after rain in the village center since yesterday.,Resolved,No,No,4,"Poor handling, not happy.",,,,-1.993611,30.044167,Low
ISS-1144,Kicukiro,Gikondo,Gikondo,Kwizera Olivier,25/02/2025,01/03/2025,public Safety,Sector,Water shortage in the area near the market for 3 days.,Resolved,No,No,5,The issue is still not fully fixed.,,,,-1.969161,30.080966,Low
ISS-1145,Gasabo,Kimironko,Kibagabaga,Nsengiyumva Christian,20/06/2025,28/06/2025,public Safety,District,Public toilet not functioning behind the local office for over a month.,Resolved,No,No,4,Good communication throughout.,,,,-1.93429,30.1179,Low
ISS-1146,Gasabo,Remera,Nyabisindu,Patrick Manzi,15/07/2025,26/07/2025,Education,Cell,Broken streetlight by the primary school for 2 months now.,Resolved,No,No,3,Service was quick and effective.,,,,-1.9527,30.116,Medium
ISS-1147,Kicukiro,Gikondo,Kanserege,Uwase Cyuzuzo,30/06/2025,18/07/2025,public Safety,District,Illegal dumping of waste by the primary school since this morning.,Resolved,No,No,3,Service was quick and effective.,,,,-1.9732,30.081,Medium
ISS-1148,Kicukiro,Kigarama,Kigarama II,Mugisha Patrick,09/08/2025,23/08/2025,public Safety,Cell,Public toilet not functioning near the health post for over a month.,Resolved,No,No,5,The issue is still not fully fixed.,,,,-1.9875,30.0646,Low
ISS-1149,Nyarugenge,Kigali,Nyarugenge,Habimana Grace,25/03/2025,,public Safety,Cell,Health post has no medicines near the river since yesterday.,Escalated,Yes,No,,,,,,-1.967222,30.055556,Low
ISS-1150,Kicukiro,Gikondo,Kanserege,Uwase Cyuzuzo,22/04/2025,09/05/2025,Health and Services ,Cell,Electricity blackout in the neighborhood near the market for 2 months now.,Resolved,No,No,1,The issue is still not fully fixed.,,,,-1.9732,30.081,Urgent
ISS-1151,Kicukiro,Gikondo,Kanserege,Uwase Cyuzuzo,11/05/2025,28/05/2025,Education,Cell,Public toilet not functioning next to the bus stop for 2 months now.,Resolved,No,No,2,Very satisfied with the outcome.,,,,-1.9732,30.081,Low
ISS-1152,Kicukiro,Kigarama,Kigarama I,Mugisha Emmanuel,20/02/2025,,Education,Sector,Overgrown bushes blocking footpaths near the river for 3 days.,Open,No,No,,,,,,-1.9875,30.0646,Low
ISS-1153,Nyarugenge,Nyamirambo,Mumena,Habimana Baptiste,14/07/2025,05/08/2025,public Safety,District,Lack of waste bins in public areas at the main road for 1 week.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.993611,30.044167,Medium
ISS-1154,Kicukiro,Kigarama,Kigarama II,Mugisha Patrick,11/06/2025,20/06/2025,public Safety,Sector,Road full of potholes near the market for several weeks.,Resolved,No,No,5,Service was quick and effective.,,,,-1.9875,30.0646,Urgent
ISS-1155,Kicukiro,Kigarama,Kigarama II,Mugisha Patrick,15/01/2025,25/01/2025,public Safety,Cell,Noise pollution from nearby bars next to the bus stop since last week.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.9875,30.0646,Low
ISS-1156,Gasabo,Kimironko,Nyagatovu,Ishimwe Grace,11/01/2025,06/02/2025,Social services,District,Health post has no medicines near the river for 3 days.,Resolved,No,No,2,Very satisfied with the outcome.,,,,-1.93429,30.1179,Medium
ISS-1157,Nyarugenge,Kigali,Muhima,Rukundo Innocent,27/01/2025,23/02/2025,Health and Services ,Sector,Blocked drainage causing floods behind the local office for almost a year.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.9359,30.0534,High
ISS-1158,Gasabo,Remera,Nyabisindu,Patrick Manzi,15/05/2025,21/05/2025,public Safety,Sector,Illegal dumping of waste near the health post for 3 days.,Resolved,No,No,5,Very satisfied with the outcome.,,,,-1.9527,30.116,Low
ISS-1159,Kicukiro,Gikondo,Rwimbogo,Nshimiyimana Eric,22/07/2025,02/08/2025,Social services,Cell,Poor internet connectivity in public offices near the river since last week.,Resolved,No,No,3,Very satisfied with the outcome.,,,,-1.969161,30.080966,Medium
ISS-1160,Gasabo,Kimironko,Nyagatovu,Ishimwe Grace,27/03/2025,,Social services,Cell,Road full of potholes near the health post since the rainy season began.,Escalated,Yes,No,,,,,,-1.93429,30.1179,Low
ISS-1161,Gasabo,Kimironko,Nyagatovu,Ishimwe Grace,01/07/2025,11/07/2025,Education,District,Overgrown bushes blocking footpaths at the football field since last week.,Resolved,No,No,5,The issue is still not fully fixed.,,,,-1.93429,30.1179,Medium
ISS-1162,Nyarugenge,Kigali,Kiyovu,Iradukunda David,21/06/2025,03/07/2025,Health and Services ,District,Poor internet connectivity in public offices at the main road for almost a year.,Resolved,No,No,3,Very satisfied with the outcome.,,,,-1.967222,30.055556,Medium
ISS-1163,Kicukiro,Kigarama,Kigarama I,Mugisha Emmanuel,27/02/2025,04/03/2025,public Safety,Cell,Flooding in homes after rain behind the local office for 3 days.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.9875,30.0646,Medium
ISS-1164,Gasabo,Remera,Rukiri II,Shema Emmy,02/06/2025,08/06/2025,Social services,Cell,Overgrown bushes blocking footpaths at the main road for several weeks.,Resolved,No,No,4,"Poor handling, not happy.",,,,-1.9527,30.116,Low
ISS-1165,Nyarugenge,Nyamirambo,Rwezamenyo II,Nshimiyimana David,04/04/2025,12/04/2025,Health and Services ,Sector,Public transport shortage during rush hours near the health post for several weeks.,Resolved,No,No,4,Good communication throughout.,,,,-1.993611,30.044167,High
ISS-1166,Kicukiro,Gikondo,Kanserege,Uwase Cyuzuzo,27/07/2025,25/08/2025,Education,Sector,Health post has no medicines at the main road since this morning.,Resolved,No,No,2,Very satisfied with the outcome.,,,,-1.9732,30.081,Low
ISS-1167,Nyarugenge,Kigali,Nyarugenge,Habimana Grace,16/05/2025,22/05/2025,public Safety,District,Unfinished construction causing hazards at the football field since last week.,Resolved,No,No,4,Good communication throughout.,,,,-1.967222,30.055556,Low
ISS-1168,Gasabo,Kimironko,Bibare,Muhire Umutoni,27/01/2025,13/02/2025,Water & sanitation,District,Public toilet not functioning in the village center since yesterday.,Resolved,No,No,1,Very satisfied with the outcome.,,,,-1.93429,30.1179,Low
ISS-1169,Gasabo,Remera,Rukiri I,Iradukunda Eric,01/08/2025,31/08/2025,Social services,Cell,Lack of waste bins in public areas near the market for almost a year.,Resolved,No,No,2,The issue is still not fully fixed.,,,,-1.9527,30.116,Medium
ISS-1170,Kicukiro,Kigarama,Kigarama II,Mugisha Patrick,06/04/2025,09/04/2025,public Safety,District,Damaged bridge making crossing difficult in the village center for several weeks.,Resolved,No,No,5,Took longer than expected.,,,,-1.9875,30.0646,Medium
ISS-1171,Gasabo,Kimironko,Bibare,Muhire Umutoni,10/01/2025,06/02/2025,Education,Cell,Unfinished construction causing hazards in the residential area since last week.,Resolved,No,No,4,"Poor handling, not happy.",,,,-1.93429,30.1179,Low
ISS-1172,Gasabo,Kimironko,Nyagatovu,Ishimwe Grace,05/01/2025,01/02/2025,Health and Services ,Cell,Unfinished construction causing hazards at the main road since yesterday.,Resolved,No,No,2,Good communication throughout.,,,,-1.93429,30.1179,Medium
ISS-1173,Nyarugenge,Kigali,Kiyovu,Iradukunda David,01/02/2025,,Education,Sector,Unfinished construction causing hazards in the village center for 1 week.,In Progress,No,No,,,,,,-1.967222,30.055556,Low
ISS-1174,Nyarugenge,Kigali,Kiyovu,Iradukunda David,18/05/2025,,public Safety,District,Public transport shortage during rush hours at the main road since this morning.,Escalated,Yes,No,,,,,,-1.967222,30.055556,Medium
ISS-1175,Nyarugenge,Nyamirambo,Rwezamenyo II,Nshimiyimana David,01/01/2025,09/01/2025,Water & sanitation,Sector,Broken streetlight by the primary school for 1 week.,Resolved,No,No,5,The issue is still not fully fixed.,,,,-1.993611,30.044167,Low
ISS-1176,Gasabo,Remera,Rukiri II,Shema Emmy,20/05/2025,06/06/2025,Health and Services ,District,Blocked drainage causing floods at the main road for several weeks.,Resolved,No,No,1,The issue is still not fully fixed.,,,,-1.9527,30.116,Medium
ISS-1177,Kicukiro,Kigarama,Kigarama III,Kwizera Innocent,11/07/2025,,Water & sanitation,Sector,Electricity blackout in the neighborhood in the village center since yesterday.,Open,No,No,,,,,,-1.9875,30.0646,Low
ISS-1178,Kicukiro,Kigarama,Kigarama III,Kwizera Innocent,13/07/2025,15/07/2025,Social services,District,Broken streetlight near the market for 2 months now.,Resolved,No,No,5,Good communication throughout.,,,,-1.9875,30.0646,Urgent
ISS-1179,Kicukiro,Kigarama,Kigarama III,Kwizera Innocent,16/02/2025,19/02/2025,public Safety,District,Poor internet connectivity in public offices at the main road since the rainy season began.,Resolved,No,No,5,Service was quick and effective.,,,,-1.9875,30.0646,Low
ISS-1180,Kicukiro,Kigarama,Kigarama I,Mugisha Emmanuel,21/03/2025,17/04/2025,Health and Services ,Sector,Damaged bridge making crossing difficult in the village center for 2 months now.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.9875,30.0646,Low
ISS-1181,Gasabo,Remera,Rukiri I,Iradukunda Eric,26/03/2025,21/04/2025,Health and Services ,District,Overgrown bushes blocking footpaths behind the local office for over a month.,Resolved,No,No,3,The issue is still not fully fixed.,,,,-1.9527,30.116,Low
ISS-1182,Kicukiro,Gikondo,Rwimbogo,Nshimiyimana Eric,27/06/2025,27/07/2025,Education,Sector,Unsafe pedestrian crossing without signs in the residential area since this morning.,Resolved,No,No,3,Service was quick and effective.,,,,-1.969161,30.080966,Urgent
ISS-1183,Nyarugenge,Kigali,Kiyovu,Iradukunda David,20/05/2025,24/05/2025,Social services,Cell,Health post has no medicines near the health post for 1 week.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.967222,30.055556,High
ISS-1184,Nyarugenge,Kigali,Nyarugenge,Habimana Grace,20/04/2025,,Social services,District,Open sewage causing bad smell at the football field since the rainy season began.,In Progress,No,No,,,,,,-1.967222,30.055556,Low
ISS-1185,Kicukiro,Gikondo,Kanserege,Uwase Cyuzuzo,12/03/2025,07/04/2025,Social services,Sector,Road full of potholes behind the local office for 1 week.,Resolved,No,No,1,Service was quick and effective.,,,,-1.9732,30.081,Medium
ISS-1186,Nyarugenge,Kigali,Nyarugenge,Habimana Grace,06/02/2025,28/02/2025,Education,Cell,Open sewage causing bad smell by the primary school for over a month.,Resolved,No,No,4,Service was quick and effective.,,,,-1.967222,30.055556,High
ISS-1187,Gasabo,Remera,Nyabisindu,Patrick Manzi,26/05/2025,,Water & sanitation,Sector,Garbage collection delay near the health post for 2 months now.,Open,No,No,,,,,,-1.9527,30.116,Medium
ISS-1188,Nyarugenge,Kigali,Nyarugenge,Habimana Grace,27/05/2025,,public Safety,Cell,Garbage collection delay at the main road since this morning.,In Progress,No,No,,,,,,-1.967222,30.055556,Medium
ISS-1189,Kicukiro,Gikondo,Gikondo,Kwizera Olivier,07/01/2025,23/01/2025,Education,Cell,Road full of potholes in the residential area for over a month.,Resolved,No,No,4,Good communication throughout.,,,,-1.969161,30.080966,Low
ISS-1190,Gasabo,Kimironko,Nyagatovu,Ishimwe Grace,15/03/2025,31/03/2025,Education,District,Lack of waste bins in public areas by the primary school since yesterday.,Resolved,No,No,2,Service was quick and effective.,,,,-1.93429,30.1179,Low
ISS-1191,Gasabo,Remera,Rukiri I,Iradukunda Eric,27/07/2025,24/08/2025,public Safety,Cell,Flooding in homes after rain near the health post for 2 months now.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.9527,30.116,High
ISS-1192,Kicukiro,Kigarama,Kigarama III,Kwizera Innocent,06/08/2025,,Water & sanitation,Sector,Electricity blackout in the neighborhood in the residential area for almost a year.,Escalated,Yes,No,,,,,,-1.9875,30.0646,Urgent
ISS-1193,Nyarugenge,Nyamirambo,Rwezamenyo I,Rukundo Manzi,21/02/2025,01/03/2025,Education,Cell,Unfinished construction causing hazards near the market for over a month.,Resolved,No,No,4,Service was quick and effective.,,,,-1.993611,30.044167,Medium
ISS-1194,Kicukiro,Gikondo,Rwimbogo,Nshimiyimana Eric,23/01/2025,,Education,District,Lack of waste bins in public areas in the village center since last week.,In Progress,No,No,,,,,,-1.969161,30.080966,Low
ISS-1195,Nyarugenge,Kigali,Muhima,Rukundo Innocent,19/01/2025,,public Safety,District,Water shortage in the area near the market for 1 week.,In Progress,No,No,,,,,,-1.9359,30.0534,Low
ISS-1196,Nyarugenge,Nyamirambo,Rwezamenyo I,Rukundo Manzi,02/02/2025,27/02/2025,Social services,Sector,Health post has no medicines near the health post since this morning.,Resolved,No,No,2,Took longer than expected.,,,,-1.993611,30.044167,Medium
ISS-1197,Kicukiro,Kigarama,Kigarama I,Mugisha Emmanuel,12/02/2025,,Education,Sector,Public toilet not functioning behind the local office for 3 days.,Escalated,Yes,No,,,,,,-1.9875,30.0646,High
ISS-1198,Gasabo,Kimironko,Kibagabaga,Nsengiyumva Christian,20/02/2025,10/03/2025,Health and Services ,Sector,Health post has no medicines by the primary school since the rainy season began.,Resolved,No,No,3,Took longer than expected.,,,,-1.93429,30.1179,High
ISS-1199,Nyarugenge,Kigali,Muhima,Rukundo Innocent,14/06/2025,,Health and Services ,District,Road full of potholes by the primary school since yesterday.,Escalated,Yes,No,,,,,,-1.9359,30.0534,High
ISS-1200,Gasabo,Remera,Rukiri II,Shema Emmy,04/08/2025,06/08/2025,Social services,Sector,Broken streetlight at the football field for almost a year.,Resolved,No,No,4,Service was quick and effective.,,,,-1.9527,30.116,Medium
ISS-1201,Gasabo,Kimironko,Kibagabaga,Nsengiyumva Christian,08/06/2025,24/06/2025,Social services,Sector,Electricity blackout in the neighborhood in the residential area since this morning.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.93429,30.1179,Low
ISS-1202,Kicukiro,Gikondo,Kanserege,Uwase Cyuzuzo,19/01/2025,25/01/2025,Water & sanitation,Sector,Health post has no medicines near the river since the rainy season began.,Resolved,No,No,5,The issue is still not fully fixed.,,,,-1.9732,30.081,Low
ISS-1203,Kicukiro,Gikondo,Kanserege,Uwase Cyuzuzo,22/03/2025,02/04/2025,Social services,Cell,Unsafe pedestrian crossing without signs in the residential area since last week.,Resolved,No,No,5,Very satisfied with the outcome.,,,,-1.9732,30.081,High
ISS-1204,Kicukiro,Kigarama,Kigarama II,Mugisha Patrick,23/03/2025,27/03/2025,Social services,Cell,Public transport shortage during rush hours in the village center for 3 days.,Resolved,No,No,5,The issue is still not fully fixed.,,,,-1.9875,30.0646,Medium
ISS-1205,Gasabo,Remera,Nyabisindu,Patrick Manzi,07/06/2025,05/07/2025,Water & sanitation,Sector,Broken streetlight near the market since last week.,Resolved,No,No,2,Very satisfied with the outcome.,,,,-1.9527,30.116,Low
ISS-1206,Nyarugenge,Kigali,Kiyovu,Iradukunda David,30/04/2025,10/05/2025,public Safety,District,Unfinished construction causing hazards in the residential area for almost a year.,Resolved,No,No,4,Service was quick and effective.,,,,-1.967222,30.055556,Low
ISS-1207,Gasabo,Kimironko,Kibagabaga,Nsengiyumva Christian,30/05/2025,01/06/2025,Education,Cell,School lacks enough desks near the market since last week.,Resolved,No,No,5,The issue is still not fully fixed.,,,,-1.93429,30.1179,Medium
ISS-1208,Nyarugenge,Kigali,Nyarugenge,Habimana Grace,21/04/2025,,Health and Services ,Cell,Lack of waste bins in public areas at the football field for almost a year.,In Progress,No,No,,,,,,-1.967222,30.055556,Low
ISS-1209,Nyarugenge,Kigali,Nyarugenge,Habimana Grace,14/01/2025,21/01/2025,Health and Services ,Sector,Unfinished construction causing hazards near the market for 1 week.,Resolved,No,No,5,Good communication throughout.,,,,-1.967222,30.055556,Low
ISS-1210,Kicukiro,Kigarama,Kigarama II,Mugisha Patrick,13/03/2025,02/04/2025,public Safety,District,Overgrown bushes blocking footpaths next to the bus stop for 2 months now.,Resolved,No,No,1,Took longer than expected.,,,,-1.9875,30.0646,Medium
ISS-1211,Gasabo,Kimironko,Nyagatovu,Ishimwe Grace,13/07/2025,,Social services,Sector,Road full of potholes behind the local office for almost a year.,Escalated,Yes,No,,,,,,-1.93429,30.1179,Medium
ISS-1212,Nyarugenge,Kigali,Muhima,Rukundo Innocent,05/02/2025,03/03/2025,Health and Services ,Cell,Poor internet connectivity in public offices by the primary school since the rainy season began.,Resolved,No,No,4,Good communication throughout.,,,,-1.9359,30.0534,Medium
ISS-1213,Kicukiro,Kigarama,Kigarama III,Kwizera Innocent,06/06/2025,19/06/2025,Education,Sector,Public transport shortage during rush hours near the river since this morning.,Resolved,No,No,5,"Poor handling, not happy.",,,,-1.9875,30.0646,Low
ISS-1214,Kicukiro,Gikondo,Gikondo,Kwizera Olivier,01/07/2025,17/07/2025,Social services,Sector,Damaged bridge making crossing difficult in the village center since this morning.,Resolved,No,No,1,Very satisfied with the outcome.,,,,-1.969161,30.080966,Medium
ISS-1215,Kicukiro,Kigarama,Kigarama II,Mugisha Patrick,26/06/2025,16/07/2025,Water & sanitation,District,Illegal dumping of waste near the river for over a month.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.9875,30.0646,Low
ISS-1216,Nyarugenge,Nyamirambo,Rwezamenyo II,Nshimiyimana David,13/02/2025,09/03/2025,Social services,Sector,Noise pollution from nearby bars by the primary school for 2 months now.,Resolved,No,No,4,Took longer than expected.,,,,-1.993611,30.044167,Low
ISS-1217,Nyarugenge,Nyamirambo,Mumena,Habimana Baptiste,05/01/2025,19/01/2025,Health and Services ,Cell,Unfinished construction causing hazards in the village center for almost a year.,Resolved,No,No,3,The issue is still not fully fixed.,,,,-1.993611,30.044167,Medium
ISS-1218,Nyarugenge,Nyamirambo,Rwezamenyo I,Rukundo Manzi,06/08/2025,08/08/2025,Social services,Sector,Public toilet not functioning near the river for 2 months now.,Resolved,No,No,4,Good communication throughout.,,,,-1.993611,30.044167,Medium
ISS-1219,Gasabo,Kimironko,Kibagabaga,Nsengiyumva Christian,22/03/2025,06/04/2025,Social services,Sector,Unsafe pedestrian crossing without signs in the residential area for 2 months now.,Resolved,No,No,3,Good communication throughout.,,,,-1.93429,30.1179,High
ISS-1220,Kicukiro,Gikondo,Gikondo,Kwizera Olivier,13/03/2025,21/03/2025,Education,Cell,Lack of waste bins in public areas at the football field since the rainy season began.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.969161,30.080966,Medium
ISS-1221,Nyarugenge,Nyamirambo,Rwezamenyo II,Nshimiyimana David,31/03/2025,30/04/2025,Water & sanitation,Sector,Lack of waste bins in public areas in the residential area since this morning.,Resolved,No,No,3,Very satisfied with the outcome.,,,,-1.993611,30.044167,Medium
ISS-1222,Gasabo,Kimironko,Nyagatovu,Ishimwe Grace,11/01/2025,03/02/2025,Education,Sector,Unfinished construction causing hazards next to the bus stop for 1 week.,Resolved,No,No,1,Very satisfied with the outcome.,,,,-1.93429,30.1179,Low
ISS-1223,Kicukiro,Gikondo,Gikondo,Kwizera Olivier,31/07/2025,30/08/2025,Education,Cell,Noise pollution from nearby bars near the market for 2 months now.,Resolved,No,No,3,Took longer than expected.,,,,-1.969161,30.080966,Low
ISS-1224,Gasabo,Remera,Nyabisindu,Patrick Manzi,13/06/2025,17/06/2025,Social services,Cell,Water shortage in the area at the football field since this morning.,Resolved,No,No,5,Very satisfied with the outcome.,,,,-1.9527,30.116,Low
ISS-1225,Nyarugenge,Kigali,Kiyovu,Iradukunda David,10/02/2025,12/03/2025,Health and Services ,District,Unsafe pedestrian crossing without signs next to the bus stop for 2 months now.,Resolved,No,No,4,The issue is still not fully fixed.,,,,-1.967222,30.055556,Low
ISS-1226,Nyarugenge,Nyamirambo,Rwezamenyo I,Rukundo Manzi,16/01/2025,19/01/2025,Water & sanitation,District,School lacks enough desks by the primary school for 2 months now.,Resolved,No,No,4,Good communication throughout.,,,,-1.993611,30.044167,Urgent
ISS-1227,Nyarugenge,Nyamirambo,Mumena,Habimana Baptiste,03/08/2025,19/08/2025,Education,Cell,Blocked drainage causing floods at the main road for 3 days.,Resolved,No,No,2,"Poor handling, not happy.",,,,-1.993611,30.044167,Low
ISS-1228,Kicukiro,Kigarama,Kigarama I,Mugisha Emmanuel,28/01/2025,08/02/2025,Social services,District,Open sewage causing bad smell near the health post since last week.,Resolved,No,No,4,The issue is still not fully fixed.,,,,-1.9875,30.0646,High
ISS-1229,Nyarugenge,Kigali,Kiyovu,Iradukunda David,19/02/2025,02/03/2025,public Safety,Sector,School lacks enough desks near the market since yesterday.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.967222,30.055556,Medium
ISS-1230,Kicukiro,Gikondo,Gikondo,Kwizera Olivier,28/03/2025,16/04/2025,Health and Services ,District,Road full of potholes near the river since the rainy season began.,Resolved,No,No,2,Took longer than expected.,,,,-1.969161,30.080966,High
ISS-1231,Nyarugenge,Kigali,Nyarugenge,Habimana Grace,13/04/2025,19/04/2025,Water & sanitation,Cell,Blocked drainage causing floods near the market for over a month.,Resolved,No,No,4,The issue is still not fully fixed.,,,,-1.967222,30.055556,Medium
ISS-1232,Kicukiro,Kigarama,Kigarama I,Mugisha Emmanuel,25/04/2025,06/05/2025,public Safety,Cell,Electricity blackout in the neighborhood at the football field since last week.,Resolved,No,No,4,Good communication throughout.,,,,-1.9875,30.0646,Medium
ISS-1233,Nyarugenge,Nyamirambo,Rwezamenyo I,Rukundo Manzi,20/06/2025,,Education,Cell,Overgrown bushes blocking footpaths behind the local office since the rainy season began.,In Progress,No,No,,,,,,-1.993611,30.044167,Medium
ISS-1234,Gasabo,Kimironko,Kibagabaga,Nsengiyumva Christian,31/01/2025,10/02/2025,Water & sanitation,District,Unsafe pedestrian crossing without signs behind the local office since the rainy season began.,Resolved,No,No,4,Good communication throughout.,,,,-1.93429,30.1179,Low
